Timestamp,Device ID, Temperature (°C), Humidity (%), Light (Lux),AQI Value,AQI Status,Smoke Status,Device Health,Free Heap (B),Month,Month-Year,Year
01/11/2025 00:14:00,indoor-farm-02,27.8,88.7,85,554,Moderate,No smoke detected,GOOD 🟢,192216,Nov,Nov-2025,2025
01/11/2025 00:14:01,indoor-farm-01,28,93.4,88,591,Moderate,No smoke detected,GOOD 🟢,192368,Nov,Nov-2025,2025
01/11/2025 00:34:00,indoor-farm-02,27.8,88.2,80,505,Moderate,No smoke detected,GOOD 🟢,192136,Nov,Nov-2025,2025
01/11/2025 00:34:04,indoor-farm-01,28,93.2,85,550,Moderate,No smoke detected,GOOD 🟢,192288,Nov,Nov-2025,2025
01/11/2025 00:54:02,indoor-farm-02,27.7,88.4,81,485,Moderate,No smoke detected,GOOD 🟢,192120,Nov,Nov-2025,2025
01/11/2025 00:54:02,indoor-farm-01,27.9,93.2,85,526,Moderate,No smoke detected,GOOD 🟢,192272,Nov,Nov-2025,2025
01/11/2025 01:14:00,indoor-farm-02,27.6,88.5,0,463,Moderate,No smoke detected,GOOD 🟢,192072,Nov,Nov-2025,2025
01/11/2025 01:14:01,indoor-farm-01,27.7,93.5,0,498,Moderate,No smoke detected,GOOD 🟢,192224,Nov,Nov-2025,2025
01/11/2025 01:34:00,indoor-farm-02,27.6,88.4,0,449,Moderate,No smoke detected,GOOD 🟢,192024,Nov,Nov-2025,2025
01/11/2025 01:34:01,indoor-farm-01,27.7,93.5,0,479,Moderate,No smoke detected,GOOD 🟢,192172,Nov,Nov-2025,2025
01/11/2025 01:54:00,indoor-farm-02,27.6,88.2,0,428,Moderate,No smoke detected,GOOD 🟢,191976,Nov,Nov-2025,2025
01/11/2025 01:54:01,indoor-farm-01,27.7,93.2,0,458,Moderate,No smoke detected,GOOD 🟢,192124,Nov,Nov-2025,2025
01/11/2025 02:14:00,indoor-farm-02,27.6,88,0,417,Moderate,No smoke detected,GOOD 🟢,191928,Nov,Nov-2025,2025
01/11/2025 02:14:02,indoor-farm-01,27.8,93.1,0,442,Moderate,No smoke detected,GOOD 🟢,192076,Nov,Nov-2025,2025
01/11/2025 02:34:00,indoor-farm-02,27.7,88,0,417,Moderate,No smoke detected,GOOD 🟢,191880,Nov,Nov-2025,2025
01/11/2025 02:34:01,indoor-farm-01,27.8,92.9,0,448,Moderate,No smoke detected,GOOD 🟢,192028,Nov,Nov-2025,2025
01/11/2025 02:54:00,indoor-farm-02,27.7,87.7,0,398,Moderate,No smoke detected,GOOD 🟢,191832,Nov,Nov-2025,2025
01/11/2025 02:54:01,indoor-farm-01,27.8,92.9,0,427,Moderate,No smoke detected,GOOD 🟢,191980,Nov,Nov-2025,2025
01/11/2025 03:14:00,indoor-farm-02,27.6,87.8,0,383,Moderate,No smoke detected,GOOD 🟢,191784,Nov,Nov-2025,2025
01/11/2025 03:14:02,indoor-farm-01,27.8,92.8,0,413,Moderate,No smoke detected,GOOD 🟢,191932,Nov,Nov-2025,2025
01/11/2025 03:34:00,indoor-farm-02,27.8,87.5,0,363,Moderate,No smoke detected,GOOD 🟢,191736,Nov,Nov-2025,2025
01/11/2025 03:34:04,indoor-farm-01,27.9,92.6,0,387,Moderate,No smoke detected,GOOD 🟢,191884,Nov,Nov-2025,2025
01/11/2025 03:54:00,indoor-farm-02,28.3,85.5,2,364,Moderate,No smoke detected,GOOD 🟢,191748,Nov,Nov-2025,2025
01/11/2025 03:54:01,indoor-farm-01,28.3,90.6,0,392,Moderate,No smoke detected,GOOD 🟢,191880,Nov,Nov-2025,2025
01/11/2025 04:13:59,indoor-farm-02,28.4,84.4,0,324,Moderate,No smoke detected,GOOD 🟢,191700,Nov,Nov-2025,2025
01/11/2025 04:14:01,indoor-farm-01,28.2,90.3,0,349,Moderate,No smoke detected,GOOD 🟢,191828,Nov,Nov-2025,2025
01/11/2025 04:33:59,indoor-farm-02,27.8,86.4,0,314,Moderate,No smoke detected,GOOD 🟢,191648,Nov,Nov-2025,2025
01/11/2025 04:34:01,indoor-farm-01,27.8,91.8,0,336,Moderate,No smoke detected,GOOD 🟢,191780,Nov,Nov-2025,2025
